Wall time,Step,Value
1601186960.3964245,4162,-161.0062713623047
1601186981.1471992,4166,-62.39985275268555
1601186986.086714,4167,-111.9429931640625
1601187070.9065545,4184,-120.90489196777344
1601187086.0733118,4187,-194.1894073486328
1601187176.749475,4205,-155.71649169921875
1601187212.4088511,4212,-156.18409729003906
1601187380.7511566,4245,-150.2305145263672
1601187411.598527,4251,-16.856473922729492
1601187508.517373,4270,-176.08367919921875
1601187533.9248848,4275,-202.7059783935547
1601187555.104876,4279,-258.2649841308594
1601187631.7143414,4294,-39.29352951049805
1601187920.9480548,4351,-105.4827651977539
1601188317.8010423,4430,-61.433712005615234
1601188367.8334813,4440,-48.69922637939453
1601188378.1490455,4442,-153.7084503173828
1601188398.347094,4446,-178.71961975097656
1601188512.6769876,4469,-73.04995727539062
1601188609.032669,4488,-140.83677673339844
1601188624.3558428,4491,-140.40188598632812
1601188750.990158,4516,-64.13021850585938
1601188781.0453715,4522,-61.193763732910156
1601188791.1977594,4524,-183.82608032226562
1601189013.4891312,4568,-109.2898178100586
1601189213.611568,4607,-28.14129638671875
1601189306.1765497,4625,-210.5044708251953
1601189382.4858215,4640,-149.64100646972656
1601189458.1978707,4655,-157.32901000976562
1601189519.0620122,4667,-129.69972229003906
1601189631.2556524,4689,-90.6558837890625
1601189636.2165473,4690,-144.82736206054688
1601189651.57465,4693,-144.96983337402344
1601189712.4024458,4705,-91.67761993408203
1601189847.791976,4732,-88.5040512084961
1601189868.4042308,4736,-157.96466064453125
1601189902.6323009,4743,-88.67980194091797
1601190023.865544,4767,-191.00244140625
1601190106.432731,4783,-150.82032775878906
1601190289.9515786,4819,-145.7404327392578
1601190570.123039,4873,-124.37763977050781
1601190625.8100827,4884,-104.21857452392578
1601190921.107133,4942,-157.2763214111328
1601190940.7306058,4946,-155.87564086914062
1601190950.5540094,4948,-82.05402374267578
1601191044.3233533,4966,-113.70262908935547
1601191049.2597165,4967,-79.36640167236328
1601191289.5660446,5014,-182.96205139160156
1601191372.378668,5030,-168.43234252929688
1601191460.271363,5047,-152.33058166503906
1601191490.0566466,5053,-130.07366943359375
1601191500.1620238,5055,-196.62979125976562
1601191510.1065028,5057,-15.042147636413574
1601191555.2362587,5066,-93.11744689941406
1601191654.9328609,5085,-161.94126892089844
1601191722.0507634,5098,-111.10059356689453
1601191796.0557373,5112,-237.40196228027344
1601191831.3095396,5119,-80.85454559326172
1601191968.4463325,5146,-89.8189468383789
1601191978.8655863,5148,-153.69883728027344
1601191988.8893023,5150,-65.1761703491211
1601191993.8210087,5151,-173.6695556640625
1601192043.8186285,5161,-80.71932220458984
1601192054.0684075,5163,-141.709228515625
1601192059.7758327,5164,-161.2061309814453
1601192070.072304,5166,-121.8917465209961
1601192250.990501,5201,-209.14173889160156
1601192404.3626347,5231,-148.21868896484375
1601192434.7382271,5237,-196.73165893554688
1601192578.982447,5265,-94.62484741210938
1601192845.1492667,5317,-144.17138671875
1601192865.8722014,5321,-115.40052032470703
1601192996.844991,5346,-120.04415893554688
1601193027.7288353,5352,-233.87200927734375
1601193186.1405115,5383,-148.12484741210938
1601193212.0817385,5388,-171.04690551757812
1601193217.5422912,5389,-145.25775146484375
1601193348.1290555,5414,-186.4198455810547
1601193399.0689883,5424,-168.03909301757812
1601193441.392405,5432,-42.37816619873047
